LEXICO LOG - file: semantic-algorithm-2.rs
Generated: 2025-11-18T04:51:59.069043
User: codespace
============================================================

TOKENS
------------------------------------------------------------
LINE    4 | TYPE: FN           | POS:     18 | VALUE: 'fn'
LINE   36 | TYPE: LBRACKET     | POS:    675 | VALUE: '['
LINE   36 | TYPE: FLOAT        | POS:    676 | VALUE: 1.5
LINE   36 | TYPE: RBRACKET     | POS:    679 | VALUE: ']'
LINE   36 | TYPE: SEMICOLON    | POS:    680 | VALUE: ';'
LINE   40 | TYPE: BREAK        | POS:    727 | VALUE: 'break'
LINE   40 | TYPE: SEMICOLON    | POS:    732 | VALUE: ';'
LINE   44 | TYPE: LET          | POS:    783 | VALUE: 'let'
LINE   44 | TYPE: ID           | POS:    787 | VALUE: 'suma_correcta'
LINE   44 | TYPE: ASSIGN       | POS:    801 | VALUE: '='
LINE   44 | TYPE: ID           | POS:    803 | VALUE: 'sumar'
LINE   44 | TYPE: LPAREN       | POS:    808 | VALUE: '('
LINE   44 | TYPE: INTEGER      | POS:    809 | VALUE: 3
LINE   44 | TYPE: COMMA        | POS:    810 | VALUE: ','
LINE   44 | TYPE: INTEGER      | POS:    812 | VALUE: 7
LINE   44 | TYPE: RPAREN       | POS:    813 | VALUE: ')'
LINE   44 | TYPE: SEMICOLON    | POS:    814 | VALUE: ';'
LINE   45 | TYPE: RBRACE       | POS:    816 | VALUE: '}'
LINE   49 | TYPE: FN           | POS:    854 | VALUE: 'fn'
LINE   49 | TYPE: ID           | POS:    857 | VALUE: 'sumar'
LINE   49 | TYPE: LPAREN       | POS:    862 | VALUE: '('
LINE   49 | TYPE: ID           | POS:    863 | VALUE: 'a'
LINE   49 | TYPE: COLON        | POS:    864 | VALUE: ':'
LINE   49 | TYPE: ID           | POS:    866 | VALUE: 'i32'
LINE   49 | TYPE: COMMA        | POS:    869 | VALUE: ','
LINE   49 | TYPE: ID           | POS:    871 | VALUE: 'b'
LINE   49 | TYPE: COLON        | POS:    872 | VALUE: ':'
LINE   49 | TYPE: ID           | POS:    874 | VALUE: 'i32'
LINE   49 | TYPE: RPAREN       | POS:    877 | VALUE: ')'
LINE   49 | TYPE: ARROW        | POS:    879 | VALUE: '->'
LINE   49 | TYPE: ID           | POS:    882 | VALUE: 'i32'
LINE   49 | TYPE: LBRACE       | POS:    886 | VALUE: '{'
LINE   50 | TYPE: RETURN       | POS:    892 | VALUE: 'return'
LINE   50 | TYPE: ID           | POS:    899 | VALUE: 'a'
LINE   50 | TYPE: PLUS         | POS:    901 | VALUE: '+'
LINE   50 | TYPE: ID           | POS:    903 | VALUE: 'b'
LINE   50 | TYPE: SEMICOLON    | POS:    904 | VALUE: ';'
LINE   51 | TYPE: RBRACE       | POS:    906 | VALUE: '}'
LINE   55 | TYPE: FN           | POS:    953 | VALUE: 'fn'
LINE   55 | TYPE: ID           | POS:    956 | VALUE: 'probar'
LINE   55 | TYPE: LPAREN       | POS:    962 | VALUE: '('
LINE   55 | TYPE: RPAREN       | POS:    963 | VALUE: ')'
LINE   55 | TYPE: LBRACE       | POS:    965 | VALUE: '{'
LINE   56 | TYPE: LET          | POS:    971 | VALUE: 'let'
LINE   56 | TYPE: ID           | POS:    975 | VALUE: 'res'
LINE   56 | TYPE: ASSIGN       | POS:    979 | VALUE: '='
LINE   56 | TYPE: ID           | POS:    981 | VALUE: 'sumar'
LINE   56 | TYPE: LPAREN       | POS:    986 | VALUE: '('
LINE   56 | TYPE: INTEGER      | POS:    987 | VALUE: 5
LINE   56 | TYPE: RPAREN       | POS:    988 | VALUE: ')'
LINE   56 | TYPE: SEMICOLON    | POS:    989 | VALUE: ';'
LINE   57 | TYPE: RBRACE       | POS:    991 | VALUE: '}'
LINE   61 | TYPE: FN           | POS:   1034 | VALUE: 'fn'
LINE   61 | TYPE: ID           | POS:   1037 | VALUE: 'dividir'
LINE   61 | TYPE: LPAREN       | POS:   1044 | VALUE: '('
LINE   61 | TYPE: ID           | POS:   1045 | VALUE: 'a'
LINE   61 | TYPE: COLON        | POS:   1046 | VALUE: ':'
LINE   61 | TYPE: ID           | POS:   1048 | VALUE: 'i32'
LINE   61 | TYPE: COMMA        | POS:   1051 | VALUE: ','
LINE   61 | TYPE: ID           | POS:   1053 | VALUE: 'b'
LINE   61 | TYPE: COLON        | POS:   1054 | VALUE: ':'
LINE   61 | TYPE: ID           | POS:   1056 | VALUE: 'i32'
LINE   61 | TYPE: RPAREN       | POS:   1059 | VALUE: ')'
LINE   61 | TYPE: ARROW        | POS:   1061 | VALUE: '->'
LINE   61 | TYPE: ID           | POS:   1064 | VALUE: 'i32'
LINE   61 | TYPE: LBRACE       | POS:   1068 | VALUE: '{'
LINE   62 | TYPE: RETURN       | POS:   1074 | VALUE: 'return'
LINE   62 | TYPE: FLOAT        | POS:   1081 | VALUE: 3.14
LINE   62 | TYPE: SEMICOLON    | POS:   1085 | VALUE: ';'
LINE   63 | TYPE: RBRACE       | POS:   1087 | VALUE: '}'

------------------------------------------------------------

ERRORS / LEXER OUTPUT
------------------------------------------------------------
No errors reported by lexer (t_error did not print anything).
