LEXICO LOG - file: semantic-algorithm-1.rs
Generated: 2025-11-18T00:00:02.375843
User: anthony.hl
============================================================

TOKENS
------------------------------------------------------------
LINE    4 | TYPE: FN           | POS:     25 | VALUE: 'fn'
LINE   42 | TYPE: FLOAT        | POS:    716 | VALUE: 3.5
LINE   42 | TYPE: RBRACKET     | POS:    719 | VALUE: ']'
LINE   42 | TYPE: SEMICOLON    | POS:    720 | VALUE: ';'
LINE   43 | TYPE: RBRACE       | POS:    722 | VALUE: '}'
LINE   47 | TYPE: FN           | POS:    772 | VALUE: 'fn'
LINE   47 | TYPE: ID           | POS:    775 | VALUE: 'multiplicar'
LINE   47 | TYPE: LPAREN       | POS:    786 | VALUE: '('
LINE   47 | TYPE: ID           | POS:    787 | VALUE: 'a'
LINE   47 | TYPE: COLON        | POS:    788 | VALUE: ':'
LINE   47 | TYPE: ID           | POS:    790 | VALUE: 'i32'
LINE   47 | TYPE: COMMA        | POS:    793 | VALUE: ','
LINE   47 | TYPE: ID           | POS:    795 | VALUE: 'b'
LINE   47 | TYPE: COLON        | POS:    796 | VALUE: ':'
LINE   47 | TYPE: ID           | POS:    798 | VALUE: 'i32'
LINE   47 | TYPE: RPAREN       | POS:    801 | VALUE: ')'
LINE   47 | TYPE: ARROW        | POS:    803 | VALUE: '->'
LINE   47 | TYPE: ID           | POS:    806 | VALUE: 'i32'
LINE   47 | TYPE: LBRACE       | POS:    810 | VALUE: '{'
LINE   48 | TYPE: RETURN       | POS:    816 | VALUE: 'return'
LINE   48 | TYPE: ID           | POS:    823 | VALUE: 'a'
LINE   48 | TYPE: MULTIPLY     | POS:    825 | VALUE: '*'
LINE   48 | TYPE: ID           | POS:    827 | VALUE: 'b'
LINE   48 | TYPE: SEMICOLON    | POS:    828 | VALUE: ';'
LINE   49 | TYPE: RBRACE       | POS:    830 | VALUE: '}'
LINE   51 | TYPE: FN           | POS:    833 | VALUE: 'fn'
LINE   51 | TYPE: ID           | POS:    836 | VALUE: 'test'
LINE   51 | TYPE: LPAREN       | POS:    840 | VALUE: '('
LINE   51 | TYPE: RPAREN       | POS:    841 | VALUE: ')'
LINE   51 | TYPE: LBRACE       | POS:    843 | VALUE: '{'
LINE   54 | TYPE: LET          | POS:    898 | VALUE: 'let'
LINE   54 | TYPE: ID           | POS:    902 | VALUE: 'result'
LINE   54 | TYPE: ASSIGN       | POS:    909 | VALUE: '='
LINE   54 | TYPE: ID           | POS:    911 | VALUE: 'multiplicar'
LINE   54 | TYPE: LPAREN       | POS:    922 | VALUE: '('
LINE   54 | TYPE: INTEGER      | POS:    923 | VALUE: 5
LINE   54 | TYPE: RPAREN       | POS:    924 | VALUE: ')'
LINE   54 | TYPE: SEMICOLON    | POS:    925 | VALUE: ';'
LINE   58 | TYPE: LET          | POS:    982 | VALUE: 'let'
LINE   58 | TYPE: ID           | POS:    986 | VALUE: 'result2'
LINE   58 | TYPE: ASSIGN       | POS:    994 | VALUE: '='
LINE   58 | TYPE: ID           | POS:    996 | VALUE: 'multiplicar'
LINE   58 | TYPE: LPAREN       | POS:   1007 | VALUE: '('
LINE   58 | TYPE: STRING       | POS:   1008 | VALUE: 'hola'
LINE   58 | TYPE: COMMA        | POS:   1014 | VALUE: ','
LINE   58 | TYPE: INTEGER      | POS:   1016 | VALUE: 10
LINE   58 | TYPE: RPAREN       | POS:   1018 | VALUE: ')'
LINE   58 | TYPE: SEMICOLON    | POS:   1019 | VALUE: ';'
LINE   59 | TYPE: RBRACE       | POS:   1021 | VALUE: '}'
LINE   63 | TYPE: RETURN       | POS:   1061 | VALUE: 'return'
LINE   63 | TYPE: INTEGER      | POS:   1068 | VALUE: 5
LINE   63 | TYPE: SEMICOLON    | POS:   1069 | VALUE: ';'
LINE   67 | TYPE: FN           | POS:   1105 | VALUE: 'fn'
LINE   67 | TYPE: ID           | POS:   1108 | VALUE: 'otra_funcion'
LINE   67 | TYPE: LPAREN       | POS:   1120 | VALUE: '('
LINE   67 | TYPE: RPAREN       | POS:   1121 | VALUE: ')'
LINE   67 | TYPE: LBRACE       | POS:   1123 | VALUE: '{'
LINE   68 | TYPE: BREAK        | POS:   1129 | VALUE: 'break'
LINE   68 | TYPE: SEMICOLON    | POS:   1134 | VALUE: ';'
LINE   69 | TYPE: RBRACE       | POS:   1136 | VALUE: '}'
LINE   73 | TYPE: FN           | POS:   1179 | VALUE: 'fn'
LINE   73 | TYPE: ID           | POS:   1182 | VALUE: 'division'
LINE   73 | TYPE: LPAREN       | POS:   1190 | VALUE: '('
LINE   73 | TYPE: ID           | POS:   1191 | VALUE: 'a'
LINE   73 | TYPE: COLON        | POS:   1192 | VALUE: ':'
LINE   73 | TYPE: ID           | POS:   1194 | VALUE: 'i32'
LINE   73 | TYPE: COMMA        | POS:   1197 | VALUE: ','
LINE   73 | TYPE: ID           | POS:   1199 | VALUE: 'b'
LINE   73 | TYPE: COLON        | POS:   1200 | VALUE: ':'
LINE   73 | TYPE: ID           | POS:   1202 | VALUE: 'i32'
LINE   73 | TYPE: RPAREN       | POS:   1205 | VALUE: ')'
LINE   73 | TYPE: ARROW        | POS:   1207 | VALUE: '->'
LINE   73 | TYPE: ID           | POS:   1210 | VALUE: 'i32'
LINE   73 | TYPE: LBRACE       | POS:   1214 | VALUE: '{'
LINE   74 | TYPE: RETURN       | POS:   1220 | VALUE: 'return'
LINE   74 | TYPE: FLOAT        | POS:   1227 | VALUE: 3.14
LINE   74 | TYPE: SEMICOLON    | POS:   1231 | VALUE: ';'
LINE   75 | TYPE: RBRACE       | POS:   1233 | VALUE: '}'
LINE   79 | TYPE: FN           | POS:   1293 | VALUE: 'fn'
LINE   79 | TYPE: ID           | POS:   1296 | VALUE: 'resta'
LINE   79 | TYPE: LPAREN       | POS:   1301 | VALUE: '('
LINE   79 | TYPE: ID           | POS:   1302 | VALUE: 'a'
LINE   79 | TYPE: COLON        | POS:   1303 | VALUE: ':'
LINE   79 | TYPE: ID           | POS:   1305 | VALUE: 'i32'
LINE   79 | TYPE: COMMA        | POS:   1308 | VALUE: ','
LINE   79 | TYPE: ID           | POS:   1310 | VALUE: 'b'
LINE   79 | TYPE: COLON        | POS:   1311 | VALUE: ':'
LINE   79 | TYPE: ID           | POS:   1313 | VALUE: 'i32'
LINE   79 | TYPE: RPAREN       | POS:   1316 | VALUE: ')'
LINE   79 | TYPE: ARROW        | POS:   1318 | VALUE: '->'
LINE   79 | TYPE: ID           | POS:   1321 | VALUE: 'i32'
LINE   79 | TYPE: LBRACE       | POS:   1325 | VALUE: '{'
LINE   80 | TYPE: LET          | POS:   1331 | VALUE: 'let'
LINE   80 | TYPE: ID           | POS:   1335 | VALUE: 'resultado'
LINE   80 | TYPE: ASSIGN       | POS:   1345 | VALUE: '='
LINE   80 | TYPE: ID           | POS:   1347 | VALUE: 'a'
LINE   80 | TYPE: MINUS        | POS:   1349 | VALUE: '-'
LINE   80 | TYPE: ID           | POS:   1351 | VALUE: 'b'
LINE   80 | TYPE: SEMICOLON    | POS:   1352 | VALUE: ';'
LINE   81 | TYPE: RBRACE       | POS:   1354 | VALUE: '}'

------------------------------------------------------------

ERRORS / LEXER OUTPUT
------------------------------------------------------------
No errors reported by lexer (t_error did not print anything).
